folio,fecha,hora_inicio,hora_fin,duracion_min,encuestador_id,encuestador_nombre,seccion,satisfaccion_amlo,satisfaccion_cs,programas_bienestar,sabia_designacion,conoce_ivan,opinion_ivan,cercania_ivan,representa_4t,intencion_voto,descripcion_ivan,prioridad_gobernador,edad,sexo,nivel_educativo,recibe_bienestar
IGU-0001,2025-06-02,09:34,09:48,14.5,E06,Roberto Guzmán,1552,Satisfecho,Muy satisfecho,Mucho,No sabe / No contesta,Sí,Buena,Poco cercano,En parte,Probablemente sí,Es un operador del gobierno federal,Empleo / economía,34,Hombre,Preparatoria,Sí
IGU-0002,2025-06-02,11:33,11:45,12.6,E06,Roberto Guzmán,1552,Satisfecho,Insatisfecho,Nada,"Sí, lo sabía",No,No aplica,Poco cercano,En parte,"Sí, con seguridad",Es un operador del gobierno federal,Empleo / economía,26,Mujer,Universidad,No
IGU-0003,2025-06-02,16:06,16:20,14.9,E06,Roberto Guzmán,1552,Satisfecho,Satisfecho,Nada,No lo sabía y no me interesa,Sí,Buena,Poco cercano,En parte,No sabe / No contesta,Es una persona de trabajo y territorio,Salud,34,Hombre,Primaria,Sí
IGU-0004,2025-06-02,15:07,15:24,17.6,E06,Roberto Guzmán,1552,Muy satisfecho,Regular,Poco,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No sabe / No contesta,"Sí, con seguridad",No lo conozco bien,Educación,20,Hombre,Universidad,No
IGU-0005,2025-06-02,13:42,13:54,12.3,E06,Roberto Guzmán,1552,Regular,Satisfecho,Mucho,No sabe / No contesta,No,No aplica,Poco cercano,"Sí, totalmente","Sí, con seguridad",Es una persona de trabajo y territorio,Empleo / economía,45,Hombre,Secundaria,No
IGU-0006,2025-06-02,16:40,16:52,12.3,E06,Roberto Guzmán,1552,Satisfecho,Regular,Algo,"No lo sabía, pero me parece bien",No,No aplica,Algo cercano,No sabe / No contesta,No sabe / No contesta,No lo conozco bien,Salud,33,Mujer,Posgrado,No
IGU-0007,2025-06-02,12:30,12:47,17.7,E49,Lucía Pedroza,1522,Regular,Regular,Poco,"Sí, lo sabía",No,No aplica,Poco cercano,"Sí, totalmente",No sabe / No contesta,No lo conozco bien,Seguridad,70,Mujer,Secundaria,No
IGU-0008,2025-06-02,14:37,14:52,15.3,E49,Lucía Pedroza,1561,Muy satisfecho,Satisfecho,Poco,No sabe / No contesta,Sí,Buena,Poco cercano,En parte,No sabe / No contesta,Es un operador del gobierno federal,Salud,25,Mujer,Secundaria,Sí
IGU-0009,2025-06-02,14:05,14:16,11.6,E49,Lucía Pedroza,1561,Satisfecho,Regular,Mucho,"No lo sabía, pero me parece bien",Sí,Buena,Algo cercano,En parte,Probablemente sí,No lo conozco bien,Seguridad,69,Mujer,Preparatoria,No
IGU-0010,2025-06-02,09:35,09:49,14.6,E49,Lucía Pedroza,1561,Insatisfecho,Insatisfecho,Algo,No lo sabía y no me interesa,Sí,Muy buena,No sabe / No contesta,En parte,Probablemente no,Es una persona de trabajo y territorio,Programas sociales,53,Hombre,Secundaria,No
IGU-0011,2025-06-02,14:15,14:26,11.6,E49,Lucía Pedroza,1561,Satisfecho,Satisfecho,Poco,"No lo sabía, pero me parece bien",No,No aplica,Muy cercano,No,Probablemente no,Es una persona de trabajo y territorio,Empleo / economía,61,Hombre,Preparatoria,No
IGU-0012,2025-06-02,09:43,09:54,11.6,E49,Lucía Pedroza,1561,Muy satisfecho,Satisfecho,Algo,"Sí, lo sabía",Sí,No sabe / No contesta,Algo cercano,En parte,No,Es una persona de trabajo y territorio,Seguridad,48,Mujer,Universidad,Sí
IGU-0013,2025-06-02,15:07,15:20,13.7,E49,Lucía Pedroza,1561,Satisfecho,Satisfecho,Mucho,No lo sabía y no me interesa,No,No aplica,Muy cercano,No,No,Es una persona de trabajo y territorio,Empleo / economía,29,Mujer,Preparatoria,Sí
